1406.2|1396.8|1393.6|1414.9|1455|1543.5|1438.1|1582.2|1546.5|1548|1560.1|1565.3|1567.5|1528|1483.6|1420.1|1072.8|1409|1403.6|1427.6|1451.2|1264.6|1457.7|1516.6|1461.5|1548|1527.5|1536.8|1538.2|1499.3|1467.3|1417.8|0.737847|758.445|0.922309|759.06|958.348|501.823|1412.33|910.091|105.845|1057.45|657.281|1305.99|654.948|0.347222|1.08507|1.13932|0.694444|0.540726|6558.34|17842.7|18991.9|18441|7617.03|1596.39|16747.6|9947.13|1105.06|
1406.2|1396.8|1393.6|1414.9|1455|1543.5|1438.1|1582.2|1546.5|1548|1560.1|1565.3|1567.5|1528|1483.6|1420.1|1072.7|1408.9|1403.8|1427.7|1451.2|1264.8|1457.8|1516.7|1461.4|1547.8|1527.6|1536.6|1537.9|1499.3|1467.6|1417.7|0.737847|753.526|0.922309|757.708|947.005|512.24|1411.81|903.61|106.221|194.065|1.46484|92.6649|1.73611|0.347222|1.12847|1.08507|0.694444|0.540726|6623.45|17674.7|19093.1|18565.9|7623.38|1588.86|16945|9912.66|1072.31|
1406.2|1396.8|1393.6|1414.9|1455|1543.5|1438.1|1582.2|1546.5|1548|1560.1|1565.3|1567.5|1528|1483.6|1420.1|1072.8|1409|1404.2|1427.9|1451.2|1264.7|1457.6|1516.6|1461.5|1548|1527.6|1536.7|1538.3|1499.4|1467.6|1417.7|0.737847|708.026|0.922309|762.934|1035.92|491.84|1266.49|805.02|116.985|1107.04|640.842|1365.02|689.073|0.347222|1.08507|1.13932|0.694444|0.540726|7495.46|17361.1|18698.3|16425.1|7103.42|1518.79|16624.1|10232.6|207.908|
1406.2|1396.8|1393.6|1414.9|1455|1543.5|1438.1|1582.2|1546.5|1548|1560.1|1565.3|1567.5|1528|1483.6|1420.1|1072.6|1409.1|1404.4|1427.9|1451.1|1264.7|1457.8|1516.5|1461.3|1547.9|1527.6|1536.6|1537.9|1499.7|1467.4|1417.7|0.799334|749.899|0.922309|762.319|952.474|516.146|1409.14|902.445|107.407|1088.65|646.213|1353.62|683.431|0.347222|1.08507|1.13932|0.694444|0.540726|7171.19|17720.7|18921.8|17321.9|7457.86|1507.27|16651.5|9901.64|1483.68|
1406.2|1396.8|1393.6|1414.9|1455|1543.5|1438.1|1582.2|1546.5|1548|1560.1|1565.3|1567.5|1528|1483.6|1420.1|1072.9|1409.3|1404.4|1427.8|1451.2|1264.5|1457.8|1516.8|1461.3|1548|1527.7|1536.7|1538.1|1499.5|1467.7|1417.8|0.737847|752.297|0.799334|773.817|961.589|520.269|1397.16|911.762|106.539|1097.06|663.032|1341.96|693.956|0.347222|1.08507|1.13932|0.694444|0.540726|7454.56|17819.3|18985.4|17897.5|7641.34|1481.68|16562.9|9897.41|1353.22|
1406.2|1396.8|1393.6|1414.9|1455|1543.5|1438.1|1582.2|1546.5|1548|1560.1|1565.3|1567.5|1528|1483.6|1420.1|1072.7|1409.1|1404.7|1428|1451.3|1264.6|1457.9|1516.7|1461.5|1547.9|1527.8|1536.7|1538.3|1499.2|1467.4|1417.9|0.737847|757.277|0.922309|765.025|957.082|498.568|1407|903.407|108.536|1083.71|667.48|1338.43|699.761|0.347222|1.08507|1.13932|0.694444|0.540726|7207.13|17818.5|18987.4|18516.7|7491.81|1499.79|16667.6|9890.19|1283.91|
1406.2|1396.8|1393.6|1414.9|1455|1543.5|1438.1|1582.2|1546.5|1548|1560.1|1565.3|1567.5|1528|1483.6|1420.1|1072.7|1409.2|1404.9|1428.1|1451.3|1264.7|1457.8|1516.6|1461.4|1548|1528|1536.6|1538.2|1499.2|1467.4|1417.8|0.737847|756.785|0.799334|767.238|961.437|507.509|1387.21|907.914|104.109|1065.65|648.112|1342.39|702.637|0.347222|1.08507|1.13932|0.651042|0.540726|7260.87|17672.8|18885.7|18320|7544.62|1474.74|16626.8|9895.75|834.713|
1406.2|1396.8|1393.6|1414.9|1455|1543.5|1438.1|1582.2|1546.5|1548|1560.1|1565.3|1567.5|1528|1483.6|1420.1|1072.7|1409.2|1404.7|1428.2|1451.2|1264.6|1457.8|1516.7|1461.3|1548|1527.9|1536.6|1537.8|1499.5|1467.7|1417.6|0.737847|758.507|0.799334|768.775|959.462|518.012|1397.28|907.661|104.514|1057.78|650.011|1332.25|699.327|0.347222|1.08507|1.13932|0.737847|0.540726|7158.55|17642.6|19075|18431.3|7577.39|1516.37|16787.6|9885.55|1092.67|
1406.2|1396.8|1393.6|1414.9|1455|1543.5|1438.1|1582.2|1546.5|1548|1560.1|1565.3|1567.5|1528|1483.6|1420.1|1073|1409.1|1404.9|1428.1|1451.3|1264.6|1457.8|1516.7|1461.4|1547.9|1528.1|1536.5|1538.1|1499.4|1467.7|1417.8|0.737847|766.193|0.922309|774.125|962.5|501.866|1407.81|912.269|105.093|1057.24|650.608|1332.85|693.522|0.434028|1.08507|1.13932|0.694444|0.517216|6739.16|17681.8|19209.8|18597|7543.06|1494.82|16958.7|9853.2|1258.4|
1406.2|1396.8|1393.6|1414.9|1455|1543.5|1438.1|1582.2|1546.5|1548|1560.1|1565.3|1567.5|1528|1483.6|1420.1|1072.8|1409.1|1404.9|1428.1|1451.2|1264.6|1457.9|1516.9|1461.5|1548|1527.9|1536.5|1537.6|1499.2|1467.8|1417.9|0.737847|758.814|0.922309|761.95|960.576|505.859|1402.78|905.939|104.977|1056.37|651.204|1307.78|691.244|0.303819|1.08507|1.13932|0.694444|0.540726|6751.48|17819|19055.7|18655.4|7649.77|1453.75|16952.9|9833.97|1212.49|
1406.2|1396.8|1393.6|1414.9|1455|1543.5|1438.1|1582.2|1546.5|1548|1560.1|1565.3|1567.5|1528|1483.6|1420.1|1072.9|1409|1404.6|1428.3|1451.4|1264.6|1457.8|1516.7|1461.5|1548.1|1528|1536.8|1537.9|1499.4|1467.7|1417.9|0.737847|757.277|0.922309|768.652|953.791|515.321|1384.84|907.711|104.167|1043.4|650.011|1305.45|690.701|0.303819|1.08507|1.13932|0.694444|0.540726|6856.58|17812.3|19065.6|18488.8|7639.95|1487.21|16871.8|9837.6|1261.84|
1406.2|1396.8|1393.6|1414.9|1455|1543.5|1438.1|1582.2|1546.5|1548|1560.1|1565.3|1567.5|1528|1483.6|1420.1|1072.6|1409.2|1404.8|1428.1|1451.4|1264.5|1457.8|1516.9|1461.5|1548.2|1528.1|1536.7|1538|1499.4|1467.7|1417.7|0.737847|760.598|0.922309|770.312|961.943|506.988|1395.37|908.572|103.935|1031.96|653.646|1311.31|686.903|0.347222|1.08507|1.13932|0.651042|0.540726|6830.34|17777.9|19068.9|18407.6|7629.11|1486.62|16789.8|9834.02|1256.92|
1406.2|1396.8|1393.6|1414.9|1455|1543.5|1438.1|1582.2|1546.5|1548|1560.1|1565.3|1567.5|1528|1483.6|1420.1|1072.7|1409.1|1404.7|1428.2|1451.3|1264.5|1457.7|1516.9|1461.4|1548.3|1528|1536.7|1537.9|1499.7|1467.8|1417.7|0.737847|759.429|0.922309|766.254|962.5|506.988|1406.02|909.18|106.279|1014|656.63|1312.28|684.733|0.347222|1.12847|1.13932|0.694444|0.540726|6760.4|17767.2|19138.6|18764.4|7622.06|1506.8|16628.7|9856.78|1317.37|
1406.2|1396.8|1393.6|1414.9|1455|1543.5|1438.1|1582.2|1546.5|1548|1560.1|1565.3|1567.5|1528|1483.6|1420.1|1072.6|1409.1|1404.4|1428.1|1451.4|1264.4|1457.8|1516.8|1461.5|1548.1|1528|1536.8|1537.9|1499.4|1467.7|1417.8|0.737847|755.986|0.922309|764.41|956.525|499.175|1394.21|907.205|104.514|1050.13|652.452|1306.32|678.819|0.347222|1.08507|1.13932|0.694444|0.517216|6944.77|17869.4|19007.2|18529.1|7666.65|1489.99|16706.6|9905.09|1330.41|
1406.2|1396.8|1393.6|1414.9|1455|1543.5|1438.1|1582.2|1546.5|1548|1560.1|1565.3|1567.5|1528|1483.6|1420.1|1072.8|1409.2|1404.4|1428.3|1451.3|1264.5|1457.7|1516.9|1461.5|1548.3|1528.2|1536.9|1538.2|1499.4|1467.9|1417.7|0.737847|759.245|0.922309|772.157|953.335|516.102|1388.19|907.255|104.08|1041.23|653.537|1316.24|673.828|0.347222|1.12847|1.13932|0.694444|0.540726|6801.21|17737.1|19023.6|18343.9|7610.04|1502.71|16734.9|9909.49|1282.89|
1406.2|1396.8|1393.6|1414.9|1455|1543.5|1438.1|1582.2|1546.5|1548|1560.1|1565.3|1567.5|1528|1483.6|1420.1|1072.8|1409.1|1404.3|1428|1451.5|1264.3|1457.7|1517|1461.5|1548.3|1528.2|1537|1538|1499.4|1467.9|1417.8|0.737847|756.416|0.922309|767.546|958.955|517.405|1391.9|906.547|105.237|1046.93|654.948|1309.3|676.432|0.434028|1.08507|1.08507|0.651042|0.540726|6999.25|17829.5|19065.9|18544.2|7520.6|1511.17|16842.8|9868.08|1274.35|
